Model,Flat CV MCC,Nested CV MCC,Nested CV MCC Std,Flat CV AUC,Nested CV AUC,Nested CV AUC Std
Logistic Regression,0.8412871239161837,0.8640904412628649,0.0963013755392848,0.9908578619104935,0.9902609694714958,0.008165746341402073
SVM,0.8356659638971108,0.8229954995814712,0.10269650875895782,0.988870044133202,0.9803647372068426,0.01816262041433718
Random Forest,0.696652053719188,0.7071333237541441,0.0664307132053595,0.9688687675529779,0.9600420359630887,0.0207963527962686
XGBoost,0.7996818037645322,0.7293875763070333,0.08318240149272127,0.9818470292154503,0.9643402815771238,0.022097497022944286
