Model,CV Accuracy (Train),Test Accuracy,Test ROC-AUC,Test F1,Test MCC,Test Balanced Acc,Test Cohen Kappa
Logistic Regression,0.8766666666666666,0.78,0.962719298245614,0.6857142857142857,0.6088590823425645,0.8552631578947368,0.5409015025041737
SVM,0.9400000000000001,0.8,0.9013157894736842,0.6428571428571429,0.5180096315013587,0.7828947368421053,0.5078740157480315
Random Forest,0.9333333333333333,0.78,0.8486842105263158,0.5925925925925926,0.44963551562230825,0.7412280701754386,0.4444444444444444
XGBoost,0.9266666666666665,0.88,0.9342105263157895,0.7692307692307693,0.6925328744784331,0.8640350877192983,0.6887966804979253
