Metode,MCC,ROC-AUC,F1-Score,Balanced Acc,Cohen Kappa
LR Baseline (SMOTE),0.8590093593710892,0.9895637743006164,0.8922075870489664,0.9426753474121895,0.8540603917007761
RF Baseline (SMOTE),0.7170171136748322,0.9628462267935953,0.7677744962724367,0.8346733778312725,0.7035286239846372
LR + Lasso Screening,0.8731398574927783,0.9907690484006274,0.9019983776121707,0.9585091366670313,0.8651490136602042
RF + Lasso Screening,0.716964747760256,0.9698197286355179,0.7584874240938315,0.8176076886603202,0.6972646297052666
GPC (Bayesian),0.0,0.9778573512784038,0.0,0.5,0.0
Stacking Ensemble,0.8641373747253399,0.9911985264616844,0.8957407745233832,0.9284826932195352,0.86256957720517
